sentence1,sentence2,gold_label
"A man in red, jumping in the air with a desert and mountains in the background.",a woman is jumping,contradiction
A candid photo of a mall food court.,A staged photo of a mall food court.,contradiction
A father sits on a bench with his three children.,They are playing baseball.,contradiction
A brunette woman in a blueish dress and a black bag is riding on a scooter on a city street.,The woman is walking down the sidewalk.,contradiction
"Man with hairy legs, wearing gray shorts and yellow t-shirt, hanging from a stripper pole, with several other people watch while laughing, some holding bottles.",The man is making a doll while other people are swinging on swings.,contradiction
A person in red pants wearing in line skates weaves through green cones.,The person is skating on a frozen lake.,contradiction
A guy fishing in a lake almost gets pulled into the water by something,A man who is fishing drinks a beer on his boat.,contradiction
A little girl walking down a dirt road behind a group of other walkers.,A girl is riding a bicycle down a grassy hill.,contradiction
Three photographers with their cameras and tripods set up indoors in a high-traffic area.,There are three jugglers putting on a show.,contradiction
Young boy smiles as an extremely large kelly green fly perches on his nose.,a little girl hates bugs,contradiction
A couple who just got married eating their cake.,People are eating a steak.,contradiction
A band plays their music indoors.,A solo artist is playing music indoors.,contradiction
A woman in a black jacket is walking down the street with a red umbrella.,A man in a black jacket is walking down the street with a red umbrella.,contradiction
Three men with ear protectors on are holding a gun and practicing shooting at a shooting range.,The three men are being attacked by zombies.,contradiction
Three people are sitting on the subway.,The people are sleeping,contradiction
A girl playing trumpet in a marching band.,She is playing a tuba.,contradiction
Multiple females sitting indian-style doing what appears to be textile work.,Males work on textile work.,contradiction
An older boy is helping his younger companion down the road.,A boy leaves his friend behind.,contradiction
A man sitting at a table that has slot machines having a drink and watching something.,The man is standing by slot machines.,contradiction
A group of teenagers and children with backpacks congregates in the grass under a tree.,A group of people gathers atop a glacier.,contradiction
"A military man playing drums from America's Corp Fort Lewis, Washington while in a parade",A woman marches with a parrot while the drummer plays a flute instead of the drums.,contradiction
A boy laying on the grass face down with a football at his feet.,A boy is throwing a football.,contradiction
The girl is hanging off of the tractor equipment.,The girl is running away,contradiction
Some construction workers are taking a break.,Construction workers are using a cherry-picker.,contradiction
two men are cleaning up dried leaves using leaf-blowers.,The two men are arm wrestling.,contradiction
There is a boy wearing jeans and a baseball cap jumping in the air.,The boy is in basketball shorts,contradiction
A man in a blue blazer is holding a red microphone.,A man takes a nap,contradiction
A man is working on the caboose of the red train.,A man is in an airplane.,contradiction
A couple sitting on rocks looking out at the ocean.,Ten people are partying on the beach.,contradiction
A group gathers at a round table to perform an activity together.,A woman is writing in her journal on a park bench.,contradiction
A woman walks in anti-gravity moon boots.,A horse is jumping over a fence.,contradiction
A man in a blue shirt is kicking a soccer ball very high in the air.,The man is playing with a football.,contradiction
Two men are having a conversation at a meeting.,Everybody is silent.,contradiction
Two young men are playing guitars in the corner of a room.,There were five young men playing drums.,contradiction
A man with khaki clothes is sitting next to a large fruit display comprised mainly of watermelons.,The man is standing by a statue of Hercules.,contradiction
A man wearing a hat sits next to a green chair and several tables full of wares.,A man is standing on a chair.,contradiction
A clown making a yellow balloon animal for a woman.,A clown goes on a killing rampage.,contradiction
"A man, woman, and child share a moped bike.",People in a car.,contradiction
two people sit on a park bench.,The women are shopping in a mall.,contradiction
A policeman is shown working a block party.,A firefighter is putting out a fire at a block party.,contradiction
A man with his prosthetic leg removed is dressed in blue jeans and a white t-shirt and sitting in front of a blue door.,There is a man sitting in front of a red door.,contradiction
A man in a white tee-shirt is looking at a charcoal grill with a bag of charcoal sitting beside the grill.,A man is on the roof with a ladder cleaning out the gutters.,contradiction
A small child in a pink shirt is standing at a counter mixing something in a bowl.,A small child puts cookies in the oven.,contradiction
A kite surfer begins to fall in the ocean.,A kite surfer is flying,contradiction
A blond woman is reading a magazine.,A blond woman plays with her dog in the grass.,contradiction
A man wearing glasses is sitting on the grass next to a baby.,The grandpa attends the funeral.,contradiction
Many people in running clothes are waiting for the run for haiti to start.,no one is waiting,contradiction
Three young children feeding a turtle water from a blue container.,Fireworks scare a dog.,contradiction
a person bending over a child in a restaurant,Two kids throw food.,contradiction
Two people are climbing a rock wall with a rope.,People are siting in a saunna.,contradiction
A couple of people sit outdoors at a table with an umbrella and talk.,The two people are floating slightly above the umbrella.,contradiction
"Two athletes vie for the ball, but the one in blue breaks his stick.",Two people are sitting on the bench.,contradiction
A man on a cellphone stands outside of a building with pictures of women in black shirts behind him.,A man is inside.,contradiction
"In a football match, a Panthers player falls forward into a somersault while gripping the football.",A man is cutting the grass.,contradiction
a woman running in a race while onlookers cheer her on,A man is walking,contradiction
Four people are enjoying an amusement ride.,The family did not enjoy the amusement ride.,contradiction
Three people are sitting on a couch and one is playing with some balls.,Fifteen people watching pro wrestling on a couch.,contradiction
Two young boys are playing volleyball.,Two girls on a tennis court.,contradiction
"Four men dressed in Chicago Cubs shirts are walking while wearing brown bags over their heads that spell out ""C-U-B-S.""",Four men are not into baseball.,contradiction
"Little girl and boy playing in the park, with their dog.",The boy and girl are eating lunch.,contradiction
Many people are walking along a path next to a long building and trees.,A person walks past a small building alone.,contradiction
A woman in a brown vest is walking on the snow with an animal.,A woman lost her pet.,contradiction
Several women are performing a dance at a formal event.,Men are walking into a bar.,contradiction
Various people enjoying lunch in a cafeteria.,The servers are wearing tuxedos,contradiction
A woman stoops next to a small boy in a sunhat on a playground structure.,The boy has no hat or woman to talk to.,contradiction
A crowd of boys play cricket in an open sand lot.,They are playing on a field.,contradiction
Young girl reads the description of park statue; there are trees in the background.,The girl is playing in the sandbox.,contradiction
A young man in a black t-shirt and jeans rides a skateboard on the side of the street.,A man is cooking dinner.,contradiction
A smiling man wearing blue jeans and a blue shirt plays a guitar in front of several other people.,The man is playing the trumpet for the crowd.,contradiction
A man in a suit runs across an intersection while a large group of people assembles.,A man is walking acoss a two lane road by himself.,contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is playing Dance Dance Revolution.,contradiction
"Two dogs stand in a puddle, and one has a yellow tennis ball.","Two cats stand in a puddle, and one has a yellow tennis ball.",contradiction
A costumed person with blue ringlet hair wearing a red shirt and gold skirt is braiding a child's hair.,A person in normal clothes with brown hair is petting a dog.,contradiction
Five boys wearing athletic attire run in the early morning on grass.,The group of ladies went dancing.,contradiction
A large number of people are waiting for their train.,The people were getting impatient waiting for the bus.,contradiction
"A man with a brown shirt, gray vest and black cap plays an electric bass.",There is a group of musicians that stands out because of their tye-dyed clothing.,contradiction
A poster of a woman on the side of a building.,A poster is on the side of the airplane.,contradiction
A woman wearing jeans and a blue top walking past a flower.,The flower is made of acid,contradiction
A cook is in the kitchen looking at the camera.,girl is cooking in home.,contradiction
A woman wearing a teal cardigan with a teal scarf and sunglasses on her head.,Nobody has glasses,contradiction
A woman talks on a cellphone while wearing a large silver crown.,The woman types furiously on her laptop.,contradiction
A dirt bike rider wearing a helmet and a pink t-shirt leans into a tight turn on a forest trail.,A dirt biker is swimming in the ocean.,contradiction
A worker with a white hard-hat is at the bottom landing of an exterior fire escape and is struggling to work with the edge of a large yellow sign.,A worker is not wearing a hat.,contradiction
A woman wearing a white dress is playing an instrument.,The woman is dressed in black.,contradiction
3 safety jacket clad Construction workers appear to be poking something interesting with their shovels.,3 construction workers on their lunch break.,contradiction
This is a little girl who just finished her science project.,A girl is sleeping.,contradiction
A helmet-clad man rides a 4-wheeler through muddy waters.,A man is walking in the mud.,contradiction
The woman holds a small infant in a baby carrier on her chest.,The woman is holding a cat.,contradiction
"Several members of a wedding party, including the bride, are walking past a lamp and some park benches.",Some people head to work.,contradiction
A group of formally dressed coeds are dancing in a colorfully lit room.,Two girls in sweatshirts and sweatpants are dancing alone.,contradiction
A small child with blond-hair and a pink shirt stands alone on a bridge.,A small child is standing on a bridge with their parents.,contradiction
A woman in fuchsia shorts and a bra top is leaping in the air.,"A woman is sitting on the ground, crying.",contradiction
"Surrounded by 5 other people in a room, a woman with raised hands smiles as a balanced tapered Jenga tower sits on the table in front of her.",A group of people are playing monopoly.,contradiction
"A man stands outside near a refreshment stand, in an Asian city.",A man is near a refreshment stand in Venezuela.,contradiction
A woman in bright orange dress dances with man,Everyone is sitting at the table.,contradiction
A goalie is catching a soccer ball.,The soccer player is running down the field.,contradiction
Boy in a white shirt runs across the street.,A boy is sitting in an office.,contradiction
A hockey player in a blue shirt scoring a goal against a team in white shirts.,the other team is wearing black shirst,contradiction
A man wearing a yellow shirt and tan pants plays golf outside while being watched by other people.,The man is wearing a dress as he plays golf.,contradiction
A homeless man has a shopping cart full of junk.,The man is a homeowner.,contradiction
A man smoking a cigarette is walking his dog next to a lady wearing a blue striped jacket.,A man drinking a beer outside,contradiction
A red dump truck is dumping a load in front of some buildings while 3 men stand next to the truck.,The truck is black.,contradiction
Two little boys and a baby girl sit on a striped seat outside.,The men stand around the kitchen.,contradiction
A little boy chases ducks through the leaves.,A girl runs after a squirrel.,contradiction
"Little girls are sitting at a table with plates in front of them, as the littlest girl with black hair is playing with some silverware on the table.",The girls are playing soccer,contradiction
A child is wearing a paper hat and eating at a diner.,A child eats a sandwich at a park.,contradiction
a great Dane climbing a steep hill,The poodle is running around the lawn.,contradiction
A lady in white shorts and a black tank top is riding a bike along the beach.,The lady is riding a horse.,contradiction
"A man rides a surfboard over a wave, the nose of the board pointing downward.",a man is sitting on his surfboard waiting for some waves.,contradiction
Three men relaxing on a bench.,Three men are stressed on a bench.,contradiction
A guy in a black shirt and tan pants leaning a little out of a large window looking at something.,cat chases other cats,contradiction
The man is riding his bike and listening to music.,A man rides his horse into the sunset.,contradiction
Wearing a large white sweater and safety glasses a young girl is smiling.,A boy on a dirtbike.,contradiction
A man is standing on his hands with lots of people around him.,The man is flying on a trapeze.,contradiction
A man wearing a black shirt is carrying a bag of ice in each hand.,A man is watching TV.,contradiction
A man playing a guitar under the lights with other people in the background.,A man is hitting the snare.,contradiction
"Three individuals sit at a table, smiling.",man sits alone,contradiction
a black dog is running pasts a wire mesh fence with a blue bone shaped toy in its mouth.,The dog is blue,contradiction
A man is looking at vegetables at a Farmer's Market.,A woman is looking at strawberries indoors,contradiction
A soldier shaking hands with a woman.,The soldier is standing with his hands at his sides.,contradiction
A dog prepares to herd three sheep with horns.,A cat is riding a sheep.,contradiction
Man in long-sleeved t-shirt sitting at a kitchen table eating from a paper plate.,A man with no shirt on is eating cake.,contradiction
A young girl outside on a rainy day.,A young girl is inside sleeping.,contradiction
A closeup of a white bunny.,The animal is black.,contradiction
A Chinese+ man and younger boy in some type of worship place worshiping.,Two men are hiking.,contradiction
Two people stand next to a goat.,Two goats are standing next to a person.,contradiction
"A city street with many people, and an older man smoking a cigarette with a black shirt on.",The old man is sewing a shirt.,contradiction
A woman is walking her two dogs on the beach.,A woman jogging with her dogs on leashes.,contradiction
A man in a black business suit crossing the street.,A man is selling ice cream on the street.,contradiction
A businesswoman with a paper and a photographer in the background.,The woman is getting ready to go to the beach.,contradiction
a worker is trying to move a large tree limb into the tree shredder wearing an orange hard hat and a orange shirt.,A man drinks beer at a baseball game.,contradiction
Three men are walking down a road.,Three men crawling down the beach.,contradiction
A child is crawling on the floor.,A young boy sits on his mother's lap.,contradiction
"There are two people rock climbing, one is on the ground while the other climbs.",Two people playing cards,contradiction
A woman is walking in a purple shirt and pink scarf.,a woman is sitting,contradiction
A man in a red jacket is skiing.,The man had on blue.,contradiction
A small girl in a dress blows bubbles in a grassy field.,The girl is wearing a snowsuit.,contradiction
Two dogs playing in the sand at the beach.,There are dogs in a tent,contradiction
Two motorcyclist neck-to-neck about to take a turn,A motorcycle collision.,contradiction
A dog chases a smaller dog.,The bigger dog is really an orangutan,contradiction
A man wrestling with a child on the floor.,Two people are sitting down to dinner.,contradiction
"Three women are sunbathing, looking up at the sky.",Three women are shopping in a grocery store.,contradiction
"A woman wearing rubber gloves is kneeling on the ground next to a few round, colorful, Chinese lanterns.",A man eats a banana.,contradiction
An individual jumps over some dirt ramps on a black and red four-wheeler.,a cat jumps over dirt ramps,contradiction
Children are playing monopoly together.,The children are sleeping.,contradiction
An Asian man stands in front of an abandoned Chinatown storefront.,A woman riding a horse in the park,contradiction
A man with two ski poles stands near a mountaintop.,There is a lady with two ski poles standing near a mountaintop.,contradiction
Three men observe a specimen under a microscope.,Scientists are smoking cigarettes,contradiction
A man is wearing a red and white striped shirt and camouflage ball cap.,Woman in red dress,contradiction
A girl wearing a gray shirt and a headband smiles as she holds a brown pottery.,the girl is eating,contradiction
A father is helping his son climb a pole.,Two people are watching movies.,contradiction
Teenagers working in a chemistry class.,Teenagers are asleep.,contradiction
Two pedestrians walk past a construction site surrounded by orange mesh.,Pedestrians walk past a construction site surrounded by CAUTION tape.,contradiction
A man dressed in red is skiing in the snow near a tree.,A man is taking a trolley ride.,contradiction
A man with a machete sitting and cutting a piece of fruit.,A man is throwing fruit around.,contradiction
A half dozen construction workers stand beside a large piece of equipment.,A half dozen construction workers are sitting.,contradiction
A child in a blue scarf and a tan outfit plays with plastic toys on a rug nearby a soft chair.,Little Billy was taking a nap.,contradiction
"Performing some bike maintenance, the lady lubricates a frame before assembly is completed.",The lady is putting air in the bike's tires.,contradiction
A girl in a black tank top and gray capri pants rides a bicycle past a pedestrian in a green shirt.,A girl rode a rocket into outer space.,contradiction
Someones getting their nails painted red.,Someone has no nails.,contradiction
"This is a four-way stop featuring three cars, one cyclist, and two pedestrians.",THe is a two-way stop featuring two cars and three pedestrians.,contradiction
"A singer performing at an outdoor concert, he is also singing with a grimace on his face.",A singer is performing a song and looks very pleased.,contradiction
"Woman and four little girls, near cake with candles.","Man and three boys, near pie and soda.",contradiction
A boy sits in a toy car while drinking from his sippy cup.,A teenager is driving down a dirt road sipping Coke.,contradiction
A group of young people celebrating under a very large red tent.,The blue tent is very small.,contradiction
Two boys running in a giant metal wheel.,Two boys are swimming in the pool.,contradiction
Two weary looking men in a boxing match both have one glove under their chin and the other touching the other man's head.,One of the men is standing over the knocked-out body of the other man.,contradiction
People standing by instruments.,Nobody is standing,contradiction
A man and a woman standing near a desk while another woman sits at the desk looking through a microscope.,A man is sitting alone at home.,contradiction
A small child with brown hair and a blue shirt is coloring.,The child is playing the banjo.,contradiction
A man is snowboarding down a skislope.,the man is indoors drinking coffee,contradiction
An infant is sleeping with a finger in its mouth.,A dog is sleeping with a finger in its mouth.,contradiction
A group of people watch a man in a white shirt speak.,A group of people are listening to music.,contradiction
Two dogs bound over a flower-covered hill.,the hill is empty,contradiction
"Through windows into a building, we see on one floor people eating at a nice restaurant, while on the floor below we see a working man looking out at us from where he kneels between shelves and boxes.",The restaurant in that building is on the lowest floor.,contradiction
A black dog is running through the water.,a dog is sleeping on his bed,contradiction
a man holds a wooden dowel smoking a cigarette in a messy kitchen possibly drunk.,The drunk woman flashes the bar.,contradiction
Two men sit talking near a stone building.,A man is talking on a phone.,contradiction
Man looks down at two women cooking with a silly look on his face.,A man cooks a meal for the women.,contradiction
"A man in a black jacket holds a red, yellow and purple flag.",A man is wearing a greet coat with a blue flag in his hand.,contradiction
An old woman with a white dog,Child with black dog,contradiction
Three men fishing from a stream.,A dog plays in the mud with a pig.,contradiction
A lady on a hospital bed is holding a baby.,A man is talking to his teenaged son.,contradiction
Two black women are watching a performance.,The women are playing chess on the ocean floor.,contradiction
A man with a chainsaw is carving a bird out of wood.,A man is carving a dog out of ice.,contradiction
Two very young children stand on the opposite side of the fence from a black and white goat.,Two elderly men are looking at a purple goat.,contradiction
"A pharmacist in a white coat and glasses is hard at work in his pharmacy lab, but turns to smile for the camera.",The pharmacist is taking a nap.,contradiction
Three young girls dance on the beach in the sand.,A group of people are swimming.,contradiction
A man shaving his gray beard.,The man is shaving his head.,contradiction
NYPD policemen watch the crowd at a boardwalk.,Policemen eat donuts in the coffee shop.,contradiction
Two people are surfing a wave in front of the shoreline.,Three people are swimming in a wave.,contradiction
Two couples pose with a snowman.,Four people are wearing swimsuits in the summer.,contradiction
"A little boy with a giant grin holds on tightly to a big bottle of Coke, the background seems to be a park in a low income area of the world.",The boy's hand's are empty.,contradiction
There is a crowd of people in the street and some are taking pictures of a mask.,There is a small group of people looking at a tree.,contradiction
Three musical performers do their act.,A person is all alone.,contradiction
There are people feeding sheep and a dog is herding them.,people are eager to eat sheep,contradiction
Two young adults walking in a street towards bright lights.,The people are sprinting,contradiction
Two boxers are ready for their fight as the crowd watches with anticipation.,The kayakers approach the rapids.,contradiction
A man wearing a white shirt has both his arms in the air,A woman is cheering at a game.,contradiction
A woman in a black shirt and jeans is pouring Era into the washing machine.,the woman is naked,contradiction
A woman with a chain around her neck leans before a small girl playing a game of Jenga while others watch on.,A woman plays Jenga with a man as a small girl looks on.,contradiction
Families enjoying themselves at a restaurants promotional event.,Some kids are playing in the backyard.,contradiction
The person in the blue jacket has a colorful helmet on.,The person's head is uncovered.,contradiction
A band of guys playing music.,A group of women dancing.,contradiction
The small red-haired girl jumps on the trampoline under the tree by the shed.,A young person dives into the ocean.,contradiction
People walking down the street facing away.,People run away from zombies.,contradiction
Snow is dusted on the young boy's clothing making it appear that he has fallen several times.,The boy is drenched with rain.,contradiction
Young man wearing a blue helmet and riding an ATV through the mud.,The man is swimming at the beach.,contradiction
A woman in sunglasses in an antique shop.,She has nothing on her face.,contradiction
The three dogs are running down a snowy track.,Three cats are resting.,contradiction
Three girls in pink are playing hula hoops with a woman.,Three boys are playing with hula hoops,contradiction
An Indian woman wearing loose fitting white clothing poses for a picture while bundling grass with two Westerners.,An indian woman is wearing tight clothes,contradiction
Blond woman smoking a cigarette by her shopping bags.,A woman is standing in line waiting for check out.,contradiction
Biker in red and white helmet driving a red motorcycle.,the biker is walking,contradiction
A worker using a saw to carve into ice.,a person carving a log,contradiction
Two women and a boy in pink looking at a shopping window.,Three men are walking away from the shopping window.,contradiction
A white lady speaking into microphone.,A man is singing into the microphone.,contradiction
Three people squat down on the edge of a lake.,a concrete lot sits empty,contradiction
A man dressed in black and a woman in red dancing outside.,A man and woman go to a movie.,contradiction
"A stewardess on an airplane pushes a cart down the center isle, looking carefully so as not to bump any of the passengers.",A man posing for a picture on the beach.,contradiction
A large white dog is bounding through a snowy field.,A puppy is chewing on a toy.,contradiction
An older man smiling and holding twine.,an older man is eating dog meat,contradiction
A man in a white shirt standing with a man in a brown shirt looking out over the ocean.,A man is watching tv in a bar.,contradiction
German citizens participate in a parade.,English citizens participate in a parade.,contradiction
A girl sitting in a blue chair in the sand reading a book.,A girl lays in the grass and reads.,contradiction
"a little girl wearing a pink shirt is standing in front of a wrought iron fence, staring at a newspaper stand.",The girl is indoors.,contradiction
dog with open mouth and a toy close by in the air,A dog is eating food from a bowl in the garage.,contradiction
A woman dressed in pink is holding a book in front of a veteran memorial.,A woman is wearing dark colored clothing hiding behind a statue.,contradiction
A woman and child stand on the beach while sailboats sail on the ocean.,A old man drinks a beer.,contradiction
"A solider, ""Wagar,"" peers into a microscope as someone in a white smock looks on.",Some people looking at space through a telescope.,contradiction
A man in a blue jacket sits on a wooden bench posed for the camera in front of a beautiful scene of smooth water and trees for the shoreline.,The man is running fast.,contradiction
Fat woman is eating food.,the woman is fasting,contradiction
a older man tilling is farm with a two horse drawn tiller.,The old man is sewing.,contradiction
An extreme cyclist flying through the air on his green bike in a rural area,The man is doing indoor tricks.,contradiction
"Two men in red, two men in blue and one in pink are in a bicycle race",A group of people running in the snow,contradiction
A gathering of people is viewed under a tent listing a Northern Michigan Regional Wine & Food event.,"No one in the picture is reading about food, nor are any of them interested in it at all.",contradiction
A man has a racquet in his hand and is playing a game of tennis.,A man with his hands cuffed behind his back is suspended above a tank of water.,contradiction
A hummingbird hovers in the air.,A humminbird is sitting in its nest.,contradiction
Three people are starring happily at something.,the people are sleeping.,contradiction
A smiling baby wearing pink being held.,A crab pinches a person's toe.,contradiction
A woman and a man sitting by the water with three children as another man looks on.,A few people practice kickboxing.,contradiction
One young girl dressed in red polka dot outfit plays with toy.,A baby boy is playing with his train.,contradiction
Three young men playing a game of Monopoly in which two of them are physically arguing.,Three young men peacefully play a game of Scrabble.,contradiction
A blue train collides with a small car on the tracks.,The truck was in the ditch.,contradiction
Band of for men play music at church.,A band plays a gig at a dive bar.,contradiction
Two children playing in a lake,The children are in the water playing.,contradiction
"A young adult male wearing a black t-shirt and blue jeans, performing a skateboard trick in a urban residential setting.",A man in black pursues a man in his small vehicle.,contradiction
A group of string musicians collect money by playing on the street while people listen.,There are people singing outdoors,contradiction
A man in a brown shirt plays a horn in front of a free spirit store.,A crowd of people are at the food market.,contradiction
A tractor carrying lobster traps.,A tractor is carrying grain.,contradiction
"Some people are standing around a large inflatable slide, watch a child slide down it.",Parents watch their child climb a jungle gym.,contradiction
A young child making faces at the camera.,An old woman is looking at a camera.,contradiction
A man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket.,A man holding a camera stands alone.,contradiction
An elderly man paints a picture of a bird.,There is a man painting a picture of a cat.,contradiction
A woman in an orange shirt and a man in a brown patterned sweater wave at someone in the distance.,Two hounds in sweaters are sipping dirty martinis.,contradiction
Two women with colorful hats sit in a field.,The women are standing.,contradiction
Hockey players during a game.,The hockey players are practicing before a game.,contradiction
A dancer is dancing in provocative blue clothing in the streets.,A man performs a breakdancing routine in a subway station.,contradiction
There are a lot of people on the beach including children.,There is a person cleaning the house.,contradiction
A blond man in a dress shirt and tie is standing next to a fence and smiling.,The man is feeling very sad.,contradiction
People are gathered around tables in a restaurant.,People are playing basketball together.,contradiction
"A guy is dressed very oddly, with green coloring in his hair.",The woman has blue hair,contradiction
A man wearing high visibility green safety attire is trying to climb on a Davey bucket truck.,The man is driving down the road.,contradiction
Two professional men's soccer players playing soccer.,The men are having dinner together.,contradiction
Three people dressed in white clothing in caps giving three other people dressed in white clothing and caps a piggyback ride.,A group of men are wrestling.,contradiction
There is a man with a green t-shirt cooking hamburgers and hotdogs outside on a grill.,a man in a green shirt cooks hamburgers and hotdogs inside on a stove,contradiction
A female Asian toddler in shorts and sandals carrying a pillowcase.,A female Asian toddler is napping.,contradiction
Two blond women pose for a photo.,The men pose for the camera.,contradiction
A person in jeans and a baseball hat rests against a bag in a park.,the person is riding a bike,contradiction
Four men play a basketball game against each other.,the men are bowling,contradiction
"Two men are sitting on a couch, conversing with one another.",The two men are sitting on the couch watching tv.,contradiction
"Brown dog with tennis ball in mouth, in water and bushes.",The dog is eating food from a plate.,contradiction
"Two people are climbing up a huge, snowy mountain.",A few friends are chatting around the fire.,contradiction
A man covered with a red shirt and wearing sunglasses is relaxing on a porch with a newspaper.,A man not willing to share his relaxation time with his wife.,contradiction
A crowd of people outside the Olympic arena in Great Britain watching the Olympics on a portable screen.,Three children are having pizza.,contradiction
A woman in a white shirt and hat speaks to a large crowd of men and women using a megaphone.,The woman is making her voice quieter so people can hear over her.,contradiction
A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids.,A woman paddles her canoe.,contradiction
"A fisherman is standing on some rocks by the sea, illuminated by the sun, which is near the horizon.",A woman lounges at the beach.,contradiction
"A man with a beard and mustache, wearing a black hat, red suspenders, and a red tie, juggles three red ball like items.",the man is wearing all black,contradiction
Three people are gathering stuff and putting them in a black bag in a dirt setting.,A woman is painting a wall.,contradiction
A street musician standing on stilts playing a tuba outside in front of a mural of people kissing.,A man rides a bicycle and plays a guitar on the street.,contradiction
Blurry picture of mountain biker descending rocky trail.,The boy is climbing up the mountain.,contradiction
construction worker working.,The worker is doing nothing,contradiction
A Pride softball team member hits the ball and runs towards first base while the umpire and catcher watch the ball.,A Pride softball team member is getting ready to go home.,contradiction
A hallway of an airport terminal.,The hallway is scene of an awful murder.,contradiction
A man in a forest setting looks through a hollow piece of wood.,The man is in his backyard.,contradiction
A woman is walking at dusk down an urban street.,Its a small town,contradiction
A group of friends out on a deck.,A man sits alone inside,contradiction
A man wearing a construction hat and gloves works with machinery.,The man is wearing a baseball hat.,contradiction
A skateboarder stalls on the lip of a bowl while his friends watch in the background.,a bike rider showing off,contradiction
An individual is scrapping the bottom of their right food with a blade they have in their hand.,An individual picks his nose with a blade.,contradiction
A blond woman is on the street hailing a taxi.,The lady is at the circus.,contradiction
A squad of military personnel are driving a jeep in an urban setting.,The squad is walking through a small town.,contradiction
A girl with dreadlocks standing in a pool,the girl is swimming,contradiction
A woman in an apron shopping at a market.,The woman is at home.,contradiction
A group of bike riders are riding on the street.,A group of bike riders are on an indoor track.,contradiction
"The black and tan dog is on a rug, tugging on a slipper.",The dog is running outside.,contradiction
A group of senior citizens are seated at round white tables as they wait for food.,A group of kids are standing in the line for hot dogs.,contradiction
A woman is holding her baby in a hospital room.,The baby is sleeping in an incubator.,contradiction
Three teens are smiling and jumping in their classroom while another looks on.,The teens are asleep on their desks.,contradiction
A group of men pulling a fishing net onto the beach.,A bunch of women sew a quilt.,contradiction
The man in the blue shirt is about to cut the cake.,The red-shirted man is disassembling a bike in the garage,contradiction
a woman holding a candle with a blue shirt on.,a man with a candle,contradiction
People waiting for a subway train: one man in a black suit sitting on bench and three women standing or walking.,The elephant can't fit into the subway,contradiction
A rodeo with a man riding a bucking horse.,A man laying down on a bed.,contradiction
Woman with sunglasses on her phone.,A woman is singing an aria.,contradiction
Two men holding their arms out from their bodies.,Two men are hugging eachother.,contradiction
A little girl smelling a fresh mushroom that her mother is showing her.,The girl and the woman are baking a cake for their brother/son's birthday party.,contradiction
There is a group of people looking at a life sized gorilla.,An angry crowd running down the street.,contradiction
A woman acrobatically dangles from hanging curtains.,A man does push ups,contradiction
A man is holding a crying baby.,A man plays with a laughing baby.,contradiction
Two people are talking on their phones in the middle of the street.,Three people are on the phone.,contradiction
"Four dogs in blue, green, red and black jerseys are racing.",Four dogs are sleeping.,contradiction
A little brunette girl squats down to pet a deer laying in sand.,The girl is running from a deer.,contradiction
A sign on a store in and urban neighborhood.,"A rural gas station with a ""closed"" sign",contradiction
"A woman with black hair, standing in front of a bike while taking a picture.",A woman is standing in front of a bike smoking a cigarette.,contradiction
Two people are standing inside of a market.,Two people sitting in a market.,contradiction
Three men wearing yellow work vests stand among a group of people.,The men in the orange vests were sitting down.,contradiction
A man sewing a garment with an antique sewing machine.,The man is hand stitching a piece of fabric.,contradiction
A man in yellow shorts throwing seeds in a field.,A woman is planting vegetables,contradiction
A young man balances himself on one hand on a platform.,The boy has his hands up in the air.,contradiction
An older gentleman taking a walk.,A old dog is talking a walk.,contradiction
A gray dog is leaping over a fallen tree.,puppy sleeping,contradiction
Two boys play in a little league game.,They are playing in the big leagues.,contradiction
Executive man on a suit waiting.,A man is wearing swimming trunks.,contradiction
Three people sit around a table with a laptop and food on it.,There are no people at the table.,contradiction
A boat captain steering a large green wheel.,A man is steering a car.,contradiction
The green-suited band is playing in the plaza in front of the church.,A street performer sings a song.,contradiction
Four women dressed in medieval costumes stand with their hands clasped in front of them.,Four women are dressed as superheros for the halloween party tonight.,contradiction
A man does artwork on a paved street.,A dancer dances in the street.,contradiction
Two men with black pants and tank tops goofing around on a stage outside.,Some men are playing guitar on stage.,contradiction
A man and a young girl using a drill press on a piece of wood.,A man and a young girl dance at the party.,contradiction
Two old men are using jackhammers on the sidewalk while people walk by.,People are drinknig pepsi at the superbowl.,contradiction
A woman is playing the piano and singing in front of a crowd.,A man is playing piano.,contradiction
"A woman standing by a car in a garage dressed for winter weather in a red knit scarf, black gloves and hat and red handbag.",A woman in summer clothes is walking her dog.,contradiction
A child jumping into a lake in a wooded area while another child plays on the shore.,The children are at the shopping mall.,contradiction
There are handprints all over this mat.,The mat is clean.,contradiction
A man is trying to fish for a prize in a fairground game.,The man is playing a slot machine.,contradiction
A bucking brown horse next to a falling cowboy.,A horse threw a man onto a rainbow cloud.,contradiction
An Asian man with black rimmed glasses is on a subway with several other people.,A man is standing on the beach,contradiction
A man and a toddler are looking at a green fish in a small pond.,Two people are staring at an ocean.,contradiction
"Man and woman looking surprised, with the man holding headphones.",The woman looked happy while listening to music on the headphones.,contradiction
